user_id,attachment_url,filename
601505897,https://canvas.instructure.com/files/259266170/download?download_frd=1&verifier=wUed7NqapLSIlG2PHYMZiKmqNhM332hPgNPItjYf,601505897.pdf
601839058,https://canvas.instructure.com/files/260457852/download?download_frd=1&verifier=aLCUdXKZsoF5IG1JVxgwOcb0UjopgjE13pEfDiHZ,601839058.pdf
601855423,https://canvas.instructure.com/files/260447027/download?download_frd=1&verifier=vJO36gl9BlAIXzkAXVPMrdVQzQQ6u4oox4OcHNQq,601855423.docx
602061694,https://canvas.instructure.com/files/260218712/download?download_frd=1&verifier=l2NmYddwVwsVGzDRWZySAbdkqyHFHr1n1zh9R5Lw,602061694.docx
603854661,https://canvas.instructure.com/files/260291399/download?download_frd=1&verifier=HWvr4HWmXvX6Bj4Xpu0jrCTbJWfDXemd7OIYSTbx,603854661.docx
603977254,https://canvas.instructure.com/files/260429449/download?download_frd=1&verifier=U6snObKKEfH1BcCpjtWx4Fz1Yu2rBZrp5gaJGM8E,603977254.pdf
603977350,https://canvas.instructure.com/files/271731813/download?download_frd=1&verifier=JqTZHrw8WOGScaaRMw4AXN1YuH6cUJkS4YpzmXFX,603977350.MOV
603994613,https://canvas.instructure.com/files/260452952/download?download_frd=1&verifier=rtE3lbhcReV5OhqhI8qrFOZp2SmPpNWyT2pdkX4w,603994613.pdf
604839567,https://canvas.instructure.com/files/260455341/download?download_frd=1&verifier=byBoRamHl1Yzh2miSqJi0Nfjzb3fFJPgIjAt6uL2,604839567.xlsx
605053541,https://canvas.instructure.com/files/260458351/download?download_frd=1&verifier=tCHW7PF2zCdQ64ISch8p8QYG0lJmQWJ8P5LR9TIg,605053541.doc
605864356,https://canvas.instructure.com/files/260464010/download?download_frd=1&verifier=Z87hLHRKqSDF8PgyfCvH8KETiyYt0hHm2xF0lcuO,605864356.pdf
606359582,https://canvas.instructure.com/files/260353261/download?download_frd=1&verifier=Ga8k7psnAXJrpsNNBnZKzLCXZwyM6SloMjUCI8s7,606359582.docx
606216374,https://canvas.instructure.com/files/260823138/download?download_frd=1&verifier=97CsCKvjZwa1A6e2ZKx7NJnZFSjjPWnd1uke4rqa,606216374.pdf
606403214,https://canvas.instructure.com/files/260439852/download?download_frd=1&verifier=OlBQsTx0lPEzkVDilcauJ9mn3TgbdAGXl56NW3Vr,606403214.pdf
606406382,https://canvas.instructure.com/files/260189113/download?download_frd=1&verifier=rbFcBO9e4bfGyiYM6CPFSJeJCvNGnL9UVAeexQJj,606406382.pdf
606845955,https://canvas.instructure.com/files/260190464/download?download_frd=1&verifier=KKSHbC0SCe09cAMbhVJDdrSR5zXy6CQLfTrkwQof,606845955.pdf
606999758,https://canvas.instructure.com/files/260596044/download?download_frd=1&verifier=Sip4AswQ4grv6HFOo5BbieCQCuC2W6v8LGM6NY6n,606999758.docx
606994851,https://canvas.instructure.com/files/260294401/download?download_frd=1&verifier=iHqudUT2NLftDenB9qLqKWzwLJneTUwJ7lUcM1rL,606994851.docx
607134601,https://canvas.instructure.com/files/260464561/download?download_frd=1&verifier=WM4bgEKflZo2dCc8QWriHSjHzkioiaaXRMIwIACa,607134601.docx
610632578,https://canvas.instructure.com/files/270735236/download?download_frd=1&verifier=pU9afg3sCrvnOJhWvOdGSLJQXfhiBMrEXuS6tgOP,610632578.pdf
593634504,https://canvas.instructure.com/files/255845432/download?download_frd=1&verifier=26NohIynkfYiAW0P8uwy4IUYJnYqhqQMw9XBuaDs,593634504.docx
593636371,https://canvas.instructure.com/files/260325937/download?download_frd=1&verifier=ObhbpLqthqogCIAvZTljejnfM80zNTsJ2Q9P0VeY,593636371.docx
593636612,https://canvas.instructure.com/files/259948391/download?download_frd=1&verifier=XmW6NJojPBAi1mtA1DanyxYEd5Gnk2FCOM2z4QYn,593636612.docx
593639465,https://canvas.instructure.com/files/260180978/download?download_frd=1&verifier=hAbkQ5JzWRu00moTJIysdqBYOgy6yCAVePBKfCnb,593639465.pdf
593744348,https://canvas.instructure.com/files/260356668/download?download_frd=1&verifier=4py0ZW325X9Vn8Ta4Q0V5VWjj2oalgIZY4cr03FA,593744348.pdf
593758155,https://canvas.instructure.com/files/260119655/download?download_frd=1&verifier=Zuux1WD554I4igYznfHNwZd7Hg66v1MzJDNoNltW,593758155.pdf
593766664,https://canvas.instructure.com/files/259918110/download?download_frd=1&verifier=XZpmlKfWfxek6EIuIOUw8kTIhZLGUE6K1ETx3UGw,593766664.docx
593772947,https://canvas.instructure.com/files/260343836/download?download_frd=1&verifier=Pu0FgKENIi5mi9tXFFOfFJwRdCQgpZELERM2QQao,593772947.docx
593799010,https://canvas.instructure.com/files/253653034/download?download_frd=1&verifier=B17xAbafZ2nfzdAuwCRv8GdeLlfnCFmJ4J2u2uUD,593799010.docx
593818150,https://canvas.instructure.com/files/261769236/download?download_frd=1&verifier=iX1ANE3E7x3Fj3RhB8yWOYuU8uI0BFsF7Dr2VoyI,593818150.pdf
593821322,https://canvas.instructure.com/files/260415421/download?download_frd=1&verifier=ejDuoZwYCfBDkluVvT1KKQHdU9Mx7vUXIgrFji65,593821322.pdf
